Station,Year,Month,Day,Daily Rainfall Total (mm),Highest 30 Min Rainfall (mm),Highest 60 Min Rainfall (mm),Highest 120 Min Rainfall (mm),Mean Temperature (°C),Maximum Temperature (°C),Minimum Temperature (°C),Mean Wind Speed (km/h),Max Wind Speed (km/h)
Changi,2011,1,1,0,—,—,—,27.4,31.3,24.5,12.2,35.6
Changi,2011,1,2,0,—,—,—,27.9,31.4,25.1,12.6,36
Changi,2011,1,3,12.6,—,—,—,26.1,31.1,23.6,7.8,33.5
Changi,2011,1,4,0,—,—,—,27.3,31.3,24,10.2,33.8
Changi,2011,1,5,77,—,—,—,27.1,32.4,22.1,10.1,43.6
Changi,2011,1,6,23,—,—,—,25.2,28.8,22.8,6.2,34.2
Changi,2011,1,7,0.4,—,—,—,25.1,26.9,23.5,6.6,22.7
Changi,2011,1,8,0.2,—,—,—,26.2,30.3,23.6,10,39.6
Changi,2011,1,9,3.6,—,—,—,26.6,30,24,9.9,40.3
Changi,2011,1,10,27.6,—,—,—,24.9,25.9,23.2,6.6,25.6
Changi,2011,1,11,0,—,—,—,25.3,27.3,23.2,6.2,26.6
Changi,2011,1,12,0,—,—,—,26.5,31.2,23.9,7.6,33.1
Changi,2011,1,13,0,—,—,—,27,30.7,23.6,10.1,35.3
Changi,2011,1,14,0.2,—,—,—,26.1,29.8,24.3,6.8,35.3
Changi,2011,1,15,0.6,—,—,—,26.5,30,24,8.8,32
Changi,2011,1,16,0,—,—,—,27,30.1,25,13.8,36.4
Changi,2011,1,17,16.4,—,—,—,25.5,29.2,22.5,11,37.4
Changi,2011,1,18,0,—,—,—,26.3,30.1,23.7,11.7,34.6
Changi,2011,1,19,0,—,—,—,26.8,30.7,23.6,12.3,29.9
Changi,2011,1,20,2.2,—,—,—,26.6,30.9,22.2,11.6,34.2
Changi,2011,1,21,0,—,—,—,26.5,30.6,23.2,11.4,34.6
Changi,2011,1,22,0,—,—,—,27.1,30.8,23.6,11.7,30.6
Changi,2011,1,23,0,—,—,—,27.3,31,24.4,12.5,37.1
Changi,2011,1,24,0,—,—,—,27.8,32.1,24.5,12.2,36.7
Changi,2011,1,25,16,—,—,—,26.5,30.7,22.6,11.6,40.7
Changi,2011,1,26,19.6,—,—,—,25.9,30,22.6,11.1,50
Changi,2011,1,27,0,—,—,—,27.1,29.9,24.6,14.7,47.2
Changi,2011,1,28,15.6,—,—,—,26.4,28.5,23.6,14.6,42.5
Changi,2011,1,29,52.8,—,—,—,25.9,28.4,23.6,12.3,40.7
Changi,2011,1,30,216.2,—,—,—,23.6,25,21.6,6.6,34.9
Changi,2011,1,31,29.2,—,—,—,24,25,22.4,8.5,34.6
Changi,2011,2,1,0.8,—,—,—,25.7,28.4,23.4,9.9,43.2
Changi,2011,2,2,1.4,—,—,—,26.2,30.2,23.3,11.1,49
Changi,2011,2,3,0.6,—,—,—,26.5,30.2,24,11.1,40.3
Changi,2011,2,4,0,—,—,—,26.6,30.5,23.6,11.5,37.1
Changi,2011,2,5,0,—,—,—,26.6,30.4,23.4,13.4,36.7
Changi,2011,2,6,0,—,—,—,26.6,30.4,23.4,12.9,37.4
Changi,2011,2,7,0,—,—,—,26.4,30.4,23.2,12.2,33.1
Changi,2011,2,8,0.4,—,—,—,26.6,31.7,23.2,9.9,25.9
Changi,2011,2,9,0,—,—,—,26.9,31.5,23.7,9.1,24.5
Changi,2011,2,10,0,—,—,—,27.5,32.7,24,11,29.5
Changi,2011,2,11,0.2,—,—,—,27.1,32.5,24.1,11.3,30.6
Changi,2011,2,12,0,—,—,—,27.8,32.7,24.5,12.2,37.1
Changi,2011,2,13,0,—,—,—,27.7,31.8,24.5,14,38.2
Changi,2011,2,14,0,—,—,—,27.6,32.2,24.2,14.7,36.7
Changi,2011,2,15,0,—,—,—,27.7,32.1,24.2,11.2,34.6
Changi,2011,2,16,0,—,—,—,27.8,32.2,24.7,12.3,37.4
Changi,2011,2,17,0,—,—,—,28.3,33.3,24.5,11.1,37.8
Changi,2011,2,18,0,—,—,—,27.8,32.5,24.8,10.1,33.5
Changi,2011,2,19,1.8,—,—,—,27.4,32.1,24.9,9.1,37.8
Changi,2011,2,20,0,—,—,—,27.4,30.4,25,6.8,22.7
Changi,2011,2,21,0,—,—,—,28,33.5,24.2,9.9,36
Changi,2011,2,22,0,—,—,—,27.7,32.4,24.1,10.8,32.8
Changi,2011,2,23,0.4,—,—,—,27.9,32.9,25,12.2,34.2
Changi,2011,2,24,17.4,—,—,—,27.6,32.5,24.4,12.6,37.4
Changi,2011,2,25,0,—,—,—,27.8,32.4,24.8,12.9,37.8
Changi,2011,2,26,0,—,—,—,28,32.4,24.6,14.1,38.9
Changi,2011,2,27,0,—,—,—,27.6,31.5,24.5,12.8,37.8
Changi,2011,2,28,0,—,—,—,26.9,31.5,23.4,8.9,34.2
Changi,2011,3,1,0,—,—,—,27.2,30.6,24.5,8.1,24.1
Changi,2011,3,2,0,—,—,—,27.6,32.4,24.6,9.6,31.3
Changi,2011,3,3,9.4,—,—,—,27.2,32,25.1,10.4,30.2
Changi,2011,3,4,17.2,—,—,—,26.3,32.2,24.1,7.4,29.2
Changi,2011,3,5,0.8,—,—,—,27.6,32.6,24.3,9.7,31.7
Changi,2011,3,6,14.4,—,—,—,26.9,32.2,23.2,6.4,35.6
Changi,2011,3,7,54,—,—,—,27.3,32.4,24.3,6,38.5
Changi,2011,3,8,0.2,—,—,—,26.3,30.7,21.9,5.7,38.9
Changi,2011,3,9,1.6,—,—,—,26.4,31,23.8,8,34.2
Changi,2011,3,10,30.2,—,—,—,25.4,29.9,23.5,7,31.3
Changi,2011,3,11,0.2,—,—,—,24.9,26.8,22.5,6.4,21.6
Changi,2011,3,12,24,—,—,—,26.7,30.7,23.8,9.5,29.5
Changi,2011,3,13,0,—,—,—,27.4,31.2,23.3,10.9,36.7
Changi,2011,3,14,15.6,—,—,—,25.8,30.6,23.1,6.1,28.4
Changi,2011,3,15,0.8,—,—,—,26.5,31.1,24.6,5.8,37.4
Changi,2011,3,16,8.2,—,—,—,27.2,31.1,24.3,7.3,30.6
Changi,2011,3,17,4.2,—,—,—,25.6,27.2,22.2,5.1,29.9
Changi,2011,3,18,0,—,—,—,27.3,31,24.2,9.2,32.4
Changi,2011,3,19,31.2,—,—,—,26.4,31.6,23.6,6.3,29.2
Changi,2011,3,20,1,—,—,—,26.7,30.2,23.7,5,31.3
Changi,2011,3,21,10.8,—,—,—,27.3,31,24.6,5.5,22
Changi,2011,3,22,0.4,—,—,—,25.7,27.4,22.9,6,29.9
Changi,2011,3,23,0,—,—,—,27.4,33,24.3,5.7,31.7
Changi,2011,3,24,0,—,—,—,28.2,33.1,24.6,7.3,28.4
Changi,2011,3,25,0,—,—,—,29.2,33.5,24.2,6.6,32.8
Changi,2011,3,26,0,—,—,—,28.8,33.1,24.6,7.8,39.6
Changi,2011,3,27,21.8,—,—,—,27.4,32.9,24,7,33.5
Changi,2011,3,28,3.6,—,—,—,27,31,24.1,9.7,30.2
Changi,2011,3,29,0.2,—,—,—,27.9,31.7,24.5,6.1,22.3
Changi,2011,3,30,0,—,—,—,28.8,33.5,24.7,8.5,38.9
Changi,2011,3,31,6.8,—,—,—,28,33,25.1,6.7,35.3
Changi,2011,4,1,0.8,—,—,—,27.9,31.8,25,10.2,56.2
Changi,2011,4,2,0,—,—,—,27.5,32.2,22.5,8.1,40
Changi,2011,4,3,4.4,—,—,—,28,32.2,25.1,9.6,28.8
Changi,2011,4,4,0,—,—,—,27.5,32.1,23.9,9.4,31
Changi,2011,4,5,61.8,—,—,—,27.3,31.6,22.2,8.4,43.6
Changi,2011,4,6,0,—,—,—,28.1,31.6,25.3,12.1,33.5
Changi,2011,4,7,0,—,—,—,28,31.8,24.6,11.8,35.6
Changi,2011,4,8,0,—,—,—,28.1,32,24.5,11.9,33.8
Changi,2011,4,9,38,—,—,—,27.4,32.3,24.1,7.5,29.5
Changi,2011,4,10,22.8,—,—,—,27,32,23.8,7.4,32.4
Changi,2011,4,11,0,—,—,—,26.7,28.3,24.9,8.2,24.8
Changi,2011,4,12,0,—,—,—,28,32.1,25,10.8,35.3
Changi,2011,4,13,0,—,—,—,27.9,31.5,24.7,11.4,32.4
Changi,2011,4,14,33.2,—,—,—,27.2,32.1,21.4,9.2,47.9
Changi,2011,4,15,0,—,—,—,28.3,32.2,24.9,10.2,31.3
Changi,2011,4,16,48.2,—,—,—,27.1,30.6,23.7,6.3,31.7
Changi,2011,4,17,0,—,—,—,28.4,32.2,25.3,6.6,25.6
Changi,2011,4,18,0,—,—,—,27.9,30.8,24.3,6.4,32.4
Changi,2011,4,19,0,—,—,—,28.6,32.2,25.3,6.3,31.7
Changi,2011,4,20,3.4,—,—,—,26.6,31.2,24.4,5.1,28.4
Changi,2011,4,21,0,—,—,—,27.8,31.6,24.4,7.3,24.8
Changi,2011,4,22,0.4,—,—,—,28.2,32.8,25.9,9.2,33.1
Changi,2011,4,23,0,—,—,—,28.5,32,25.9,9.5,31.7
Changi,2011,4,24,0,—,—,—,28.8,32.4,26,12.2,29.9
Changi,2011,4,25,0,—,—,—,28.6,32.6,25.1,10.6,29.9
Changi,2011,4,26,0,—,—,—,28.9,33,25.8,8.6,28.1
Changi,2011,4,27,1.6,—,—,—,28.1,31.6,25.5,7.6,32.4
Changi,2011,4,28,0,—,—,—,28.9,33.1,25.3,9.6,30.2
Changi,2011,4,29,2.2,—,—,—,27.9,32.9,25.4,5.2,23.8
Changi,2011,4,30,1,—,—,—,27.6,32,24.4,6.4,27.7
Changi,2011,5,1,1.6,—,—,—,27.2,29.7,24.9,4.5,17.6
Changi,2011,5,2,1,—,—,—,26.1,27.2,24.2,5.6,33.5
Changi,2011,5,3,34.2,—,—,—,27.5,33.5,24.4,5.6,29.5
Changi,2011,5,4,17.8,—,—,—,27.2,32.3,23.7,5.7,28.8
Changi,2011,5,5,0,—,—,—,28.5,33.5,24.4,6.9,27
Changi,2011,5,6,0,—,—,—,29.4,34.5,25.4,7,24.1
Changi,2011,5,7,0,—,—,—,29.4,33.8,26.4,7,26.3
Changi,2011,5,8,0,—,—,—,30.1,35.3,26,6.3,29.5
Changi,2011,5,9,0,—,—,—,30.4,34,27.7,9.8,32
Changi,2011,5,10,6.6,—,—,—,29,32.3,23.4,7,41
Changi,2011,5,11,1.8,—,—,—,29.7,33.1,26.7,9.3,22.7
Changi,2011,5,12,4,—,—,—,27.9,31.1,24.9,7.9,40.3
Changi,2011,5,13,11.2,—,—,—,28.3,33.4,25,4.9,20.2
Changi,2011,5,14,1.6,—,—,—,27.5,31.2,23.4,5.4,36.7
Changi,2011,5,15,0,—,—,—,28.6,33,24.7,9.3,27.4
Changi,2011,5,16,0,—,—,—,28.4,32.5,26,6.4,32.8
Changi,2011,5,17,0,—,—,—,28.6,33.1,25.1,7.5,31.7
Changi,2011,5,18,0,—,—,—,28.5,33,25.4,7.1,38.5
Changi,2011,5,19,0,—,—,—,28.8,33,25.4,7.5,34.2
Changi,2011,5,20,2.2,—,—,—,28.4,33.1,26,4.9,44.3
Changi,2011,5,21,0.8,—,—,—,28.1,31.3,24.3,6,25.9
Changi,2011,5,22,0,—,—,—,28.9,32.6,26.2,7.9,30.6
Changi,2011,5,23,0,—,—,—,29.4,33.2,24.6,7.7,29.5
Changi,2011,5,24,4.6,—,—,—,29.4,33.5,24.9,8.5,27.4
Changi,2011,5,25,13.4,—,—,—,27.8,30.9,24.9,5.8,29.5
Changi,2011,5,26,0,—,—,—,28.9,32,26.1,5.8,23.4
Changi,2011,5,27,24.2,—,—,—,27.8,31.1,25.2,4.7,34.9
Changi,2011,5,28,0,—,—,—,28.6,32,25.8,4.9,25.2
Changi,2011,5,29,0,—,—,—,28.5,31.7,26.1,4.7,28.8
Changi,2011,5,30,0,—,—,—,29.3,32.4,26.5,9.8,32.4
Changi,2011,5,31,2,—,—,—,28.1,32.5,24.4,8.6,46.1
Changi,2011,6,1,0.2,—,—,—,27.5,31.9,25.5,5.8,32.4
Changi,2011,6,2,0,—,—,—,28.8,33,24.8,8.6,36.4
Changi,2011,6,3,0,—,—,—,29.3,32,26.6,7.1,32.8
Changi,2011,6,4,82,—,—,—,28.6,31.9,24.4,7.1,34.2
Changi,2011,6,5,29.6,—,—,—,26.1,28,22.2,5.3,31
Changi,2011,6,6,4.2,—,—,—,26.4,28.7,23.7,4.9,27.7
Changi,2011,6,7,0,—,—,—,29,32.8,25.2,5.9,26.3
Changi,2011,6,8,1.6,—,—,—,29.6,33.1,26.3,9.9,34.9
Changi,2011,6,9,0.2,—,—,—,27.1,29.1,24.9,6,27.4
Changi,2011,6,10,0,—,—,—,29.1,32.3,26.1,7,31.3
Changi,2011,6,11,13.8,—,—,—,26.9,30.8,23.3,5.2,28.1
Changi,2011,6,12,0,—,—,—,28.3,31.7,24.5,6,30.6
Changi,2011,6,13,1.6,—,—,—,28.7,32,26,7.4,37.8
Changi,2011,6,14,0,—,—,—,28.7,31.7,26.8,6.8,27
Changi,2011,6,15,8.6,—,—,—,29.8,32.7,26.5,9,27.7
Changi,2011,6,16,0,—,—,—,27.7,31.4,23,8.5,35.3
Changi,2011,6,17,6.4,—,—,—,29.3,32.2,26.7,10.2,32.4
Changi,2011,6,18,0,—,—,—,27.6,29.3,23.5,10.7,33.5
Changi,2011,6,19,0,—,—,—,28.7,31.5,26,10.5,31.7
Changi,2011,6,20,0,—,—,—,29.3,31.6,26.7,12.3,30.6
Changi,2011,6,21,0,—,—,—,29.6,32.3,27.4,13.4,31.7
Changi,2011,6,22,28.4,—,—,—,28.9,31.7,24.9,9,31.7
Changi,2011,6,23,0,—,—,—,27.4,30.1,23.6,7.3,38.2
Changi,2011,6,24,0,—,—,—,28.9,32.5,26.1,9.3,39.2
Changi,2011,6,25,3.8,—,—,—,28.6,30.2,24.6,10.1,50
Changi,2011,6,26,0,—,—,—,29.2,31.9,26.6,14.1,39.2
Changi,2011,6,27,0,—,—,—,29,32,25.9,7.4,25.2
Changi,2011,6,28,0.8,—,—,—,28.6,30.6,26.3,8.3,34.6
Changi,2011,6,29,6.8,—,—,—,28.5,31.9,25.1,9.1,42.1
